recordid,name,cwid
001Pn000010dEaZIAU,Mann+Hummel Purolator Filters,19728
001Pn000010dEsKIAU,Hobby Lobby Stores Inc,22103
001Pn000010dEsLIAU,Michigan Head and Spine Institute,21731
001Pn000010dF1yIAE,Continental Linen Service (CLS),21751
001Pn000010dFwPIAU,Comstock Park Public Schools,21996
001Pn000010dGIxIAM,TimeZest Inc,21180
001Pn000010dGKfIAM,Electrical Maintenance & Construction,21394
001Pn000010dGnkIAE,"Jayde Farms, LLC",20954
001Pn000010dGuHIAU,Besser Museum for Northeast Michigan,20694
001Pn000010dHTXIA2,The Principle Group,21343
001Pn000010dHYOIA2,Magna Cosma,21994
001Pn000010dHlHIAU,Southern Clinton County Municipal Utility Authorit,21517
001Pn000010dHlIIAU,SSL Corp,21198
001Pn000010dHrnIAE,Connelly Crane Rental Corp.,21558
001Pn000010dHv1IAE,Benzie Shores District Library,20805
001Pn000010dHv2IAE,AMBS Call Center,20614
001Pn000010dIBHIA2,M.W. WATERMARK,21985
001Pn000010dIJJIA2,Thierica Summit Polymers,20820
001Pn000010dIxYIAU,Taica Cubic Printing,21592
001Pn000010dJ8mIAE,GDI Services Inc,20765
001Pn000010dKKyIAM,Caro Community Schools,21924
001Pn000010dKOIIA2,LJ Golden Realty,22062
001Pn000010dKZUIA2,CMR Mechanical,21802
001Pn000010dLAeIAM,Greenville WWTP,21103
001Pn000010dLFSIA2,Universal Health Services Inc,21556
001Pn000010dLFYIA2,Hanover Horton School District,20667
001Pn000010dLYmIAM,Condado Tacos,21225
001Pn000010dM53IAE,Tri-County Aquatics,21865
001Pn000010dM6fIAE,Midland Center For The Arts**,21537
001Pn000010dM8GIAU,Cahoots,21787
001Pn000010dMQ5IAM,Janel Muszynski,21717
001Pn000010dMhmIAE,AAA Companies,21557
001Pn000010dMmdIAE,Integrated Building Solutions,19656
001Pn000010dMufIAE,Midwest Diesel Service of Alpena,21458
001Pn000010dNfPIAU,Public Schools of Petoskey,22076
001Pn000010dNh5IAE,Behler-Young Company,22013
001Pn000010dNlsIAE,Diamond Drilling & Supply Co. Inc.,21902
001Pn000010dNxCIAU,Sanctuary Sweets LLC,21714
001Pn000010dO3gIAE,Kalitta Air,21495
001Pn000010dOLMIA2,Microsoft,20538
001Pn000010dObYIAU,City of Norton Shores,21080
001Pn000010dOekIAE,Career Quest,19413
001Pn000010dOemIAE,Flushing Community Schools,19552
001Pn000010dOtEIAU,Hunter Mechanical,22071
001Pn000010dPFoIAM,Potato Services of Michigan,21957
001Pn000010dQaVIAU,The Pack Indoor Dog Park,20890
001Pn000010dRRJIA2,Ascension Borgess Pipp,21952
001Pn000010dSQdIAM,University of Michigan Health - Sparrow,22086
001Pn000010dUSOIA2,Salvation Army Kent County,22154
001Pn000010dVl2IAE,Jonesville Community Schools,21723
001Pn000010dWUCIA2,Christ Memorial Church,22085
001Pn000010dWUDIA2,Posen Consolidated School District,21904
001Pn000010dXVBIA2,Tacos El Cunada,21983
001Pn000010dY7rIAE,Captains Quarters Business Center,21850
001Pn000010dZALIA2,Athens Area Schools,21716
001Pn000010dZlSIAU,Harper Woods Public Library,22112
001Pn000010db7IIAQ,ICCF Community Homes,22128
001Pn000010dbH5IAI,Wingstop Restaurant,21678
001Pn000010dbf9IAA,Carbon Six Headquarters,21453
001Pn000010dblpIAA,Hanger Clinic,21728
001Pn000010dblqIAA,Player's Pub & Grub,21700
001Pn000010dd2eIAA,Coca Cola,20862
001Pn000010ddvVIAQ,Atlas Technical Services,21676
001Pn000010ddyiIAA,Birmingham DPW,22049
001Pn000010deDDIAY,"ZF Axle Drives Marysville, LLC",21703
001Pn000010debRIAQ,Kode Labs,20721
001Pn000010dejZIAQ,"Modugo, LLC dba Rent-A-Container Network",21937
001Pn000010demlIAA,United Rentals,21521
001Pn000010dfNoIAI,Thompson State Fish Hatchery,20693
001Pn000010dgWnIAI,Detroit Marriott,20654
001Pn000010dgzxIAA,Hillsdale College,21559
001Pn000010dhpRIAQ,Cargill Inc.,21808
001Pn000010dhuLIAQ,Kinexus Bridge Academy,21106
001Pn000010dhuMIAQ,Fender Guitar,21087
001Pn000010diC2IAI,Vista IT Group,21857
001Pn000010diqMIAQ,Delton Kellogg Schools,21570
001Pn000010djOHIAY,THK Automotive,21922
001Pn000010djRRIAY,"Nuechterlein Electric, Inc.",20146
001Pn000010dkwyIAA,"Camping World Holdings, Inc",22087
001Pn000010dl6eIAA,Onaway Area Schools,21988
001Pn000010dlGVIAY,Ogemaw County,21975
001Pn000010dlI4IAI,Sharon's Heating and Air Conditioning,21411
001Pn000010dlJXIAY,Pilot Company,22131
001Pn000010dlJZIAY,MediLodge at the Shore,21523
001Pn000010dlt2IAA,Will Sullivan,20830
001Pn000010dm19IAA,First Church of God,21811
001Pn000010dmIpIAI,Prim Aesthetics,22153
001Pn000010dmM7IAI,"Ball Tire & Gas, Inc.",21685
001Pn000010dnJqIAI,Dollar General,22010
001Pn000010dnLQIAY,City of Saline,21950
001Pn000010dnQHIAY,Comfort Inn / Mainstay Suites,20564
001Pn000010dnV5IAI,St. Michael Parish and School,21601
001Pn000010dnV6IAI,MPT Drives,21528
001Pn000010dnV8IAI,Discount Tire,20565
001Pn000010dnWfIAI,Kelly Services,20757
001Pn000010dnYLIAY,Boston Square Community Hub,21709
001Pn000010dnurIAA,North Central Area Credit Union,22036
001Pn000010doXXIAY,Prime Specialty Contracting,21806
001Pn000010dp8gIAA,Pigeon Hill Brewing,21323
001Pn000010dpS7IAI,Professional Contract Services Inc,21472
001Pn000010dpqHIAQ,Muskegon Catholic Central,21623
001Pn000010dpyFIAQ,Urban Air Adventure Park,22139
001Pn000010dq1WIAQ,W.W. Fairbairn,21987
001Pn000010dqr9IAA,First Baptist Church of Rochester,20975
001Pn000010dqsnIAA,Macomb County Correctional Facility,20961
001Pn000010drOyIAI,Firekeepers,21885
001Pn000010drQbIAI,Manistee Area Public Schools,21262
001Pn000010driOIAQ,Hamtramck Public Schools,21648
001Pn000010driPIAQ,Fire Up Investments,21602
001Pn000010drs5IAA,ODA LLC,22133
001Pn000010ds1hIAA,Home Goods,22024
001Pn000010ds3JIAQ,Cira Apps Limited,21174
001Pn000010ds3KIAQ,Hexarmor,20986
001Pn000010ds4yIAA,Genesee County,21163
001Pn000010ds50IAA,TMP Architecture,20792
001Pn000010dsPuIAI,Markstrom Construction Inc,22124
001Pn000010dt92IAA,Pepper Construction,20899
001Pn000010dt93IAA,Northern Promotions LLC,20841
001Pn000010dtPLIAY,"JE Johnson, Inc.",19668
001Pn000010dtQpIAI,Owosso Speedway,21732
001Pn000010dtYyIAI,"Jackson Control Co., Inc",21926
001Pn000010du0IIAQ,Harbor View,21332
001Pn000010du58IAA,Progressive Brighton LLC,21906
001Pn000010du9wIAA,AirTech Equipment Inc*,21533
001Pn000010duLFIAY,Raymond E Shepard House,21529
001Pn000010duLIIAY,"Hilti, Inc",21380
001Pn000010duUxIAI,Saginaw Chippewa Indian Tribe,21487
001Pn000010dvE5IAI,Team Bobs,21303
001Pn000010dvM9IAI,US Trustee,21304
001Pn000010dvPNIAY,The Right Place,22098
001Pn000010dvcIIAQ,Cisco Systems Inc,22057
001Pn000010dwTkIAI,HI-TEC Building Services,21043
001Pn000010dwlMIAQ,Dansville Schools,22114
001Pn000010dwrgIAA,Boxboard Lofts,21814
001Pn000010dx1OIAQ,C2AE Office,21218
001Pn000010dx1PIAQ,Watson Bros. Company,21111
001Pn000010dxSpIAI,Holland Hair Saloon,22028
001Pn000010dxUPIAY,St Paul United Methodist Church,21992
001Pn000010dxXhIAI,St Andrews Cathedral,20651
001Pn000010dxfgIAA,Lakeshore Cancer Center (CHCWM),20839
001Pn000010dxivIAA,City of Birmingham,21665
001Pn000010dxixIAA,Buckley Village Office,21342
001Pn000010dxxTIAQ,St. Mary - Pinckney,21345
001Pn000010dxxUIAQ,Muskegon Maritime Academy,21234
001Pn000010dy3sIAA,First Presbyterian Church of Birmingham,21684
001Pn000010dy3tIAA,Cardinal Care Facility,21247
001Pn000010dyAJIAY,City of Westland,21897
001Pn000010dyJzIAI,200 Monroe,22011
001Pn000010dyNHIAY,Flex Coopersville,22105
001Pn000010dyVKIAY,Tuscarora Township,21980
001Pn000010dygZIAQ,Addington Place,21145
001Pn000010dygaIAA,Shalla's Market,21064
001Pn000010dyjnIAA,KTS Engineering,21894
001Pn000010dywmIAA,OVD Insurance,22047
001Pn000010dz1WIAQ,Little Mitten Daycare,22021
001Pn000010dz3EIAQ,Livingston Pump Station,20369
001Pn000010dzBDIAY,SPI Pharma Inc,20802
001Pn000010dzCsIAI,Galco Industrial Electronics,21825
001Pn000010dzJIIAY,T2 Construction Management,22075
001Pn000010dzJJIAY,"Northern Valley Electrical Service, Inc.",22067
001Pn000010dzMVIAY,MSI Surfaces,21993
001Pn000010dzRKIAY,Inland Lakes School District,22035
001Pn000010dzfrIAA,Sparrow Eaton Hospital,20557
001Pn000010dzkgIAA,Albert Kahn Apartments,20866
001Pn000010dzsoIAA,Karmanos Cancer Institute,21443
001Pn000010e0AbIAI,Ferndale Electric,21844
001Pn000010e0NOIAY,Avon Star LLC,21351
001Pn000010e0X8IAI,Mark Duncan,20732
001Pn000010e0YiIAI,Hickory Way Apartments,21022
001Pn000010e0bvIAA,City of Rockford,22164
001Pn000010e0bwIAA,Mid Michigan College,21535
001Pn000010e0qUIAQ,William E Walter,21243
001Pn000010e0vJIAQ,Bear Creek Township,21852
001Pn000010e0vKIAQ,Woodharbor,21849
001Pn000010e0wsIAA,Elite Care,21397
001Pn000010e107IAA,Proper Beverage CO,21336
001Pn000010e1BRIAY,Kalamazoo Public Library,22073
001Pn000010e1BSIAY,"Samsung SDI America, Inc",21774
001Pn000010e1JSIAY,Straightline Refrigeration,22152
001Pn000010e1L9IAI,City of Grand Ledge,22137
001Pn000010e1csIAA,McGraw Construction Inc,22060
001Pn000010e1mUIAQ,Costco,21755
001Pn000010e1mVIAQ,Schorling Reserve Center,20621
001Pn000010e1wAIAQ,Chippewa Hills School District,21963
001Pn000010e2DwIAI,WTA Architects,20777
001Pn000010e2U8IAI,First Contracting,22109
001Pn000010e2ViIAI,Marygrove Conservancy,20984
001Pn000010e2XLIAY,200 Alta Dale Garage,21901
001Pn000010e2XRIAY,The Leonard,20913
001Pn000010e2YyIAI,American Healthcare Reit,22159
001Pn000010e2kBIAQ,Michigan Institute of Urology,21591
001Pn000010e2p4IAA,Newaygo County RESA,22161
001Pn000010e2sGIAQ,Center Line Schools,22162
001Pn000010e2sNIAQ,Members First Credit Union,21018
001Pn000010e31wIAA,Adrian Mechanical,19314
001Pn000010e359IAA,Harris Mechanical,20688
001Pn000010e36lIAA,Little Traverse Bay Band of Odawa Indians,22145
001Pn000010e38ZIAQ,"4Imprint, Inc",21294
001Pn000010e3GWIAY,Grandville Public Schools,20544
001Pn000010e3LHIAY,Neopollard Interactive,21067
001Pn000010e3Q7IAI,Kerr Pump & Supply,21568
001Pn000010e3Q8IAI,Albion College,21339
001Pn000010e3bSIAQ,Vision Quest,21095
001Pn000010e41IIAQ,Pleune Service Company*,21859
001Pn000010e4AtIAI,Michigan Department of Natural Resources,21868
001Pn000010e4EAIAY,Platinum Mechanical Inc,22080
001Pn000010e4UMIAY,Troy Racquet Club,21790
001Pn000010e4aiIAA,Ray Electric Inc.,21661
001Pn000010e4cIIAQ,Guardian West,20413
001Pn000010e4kRIAQ,Bumler Mechanical,21603
001Pn000010e4sQIAQ,Blackmer,21121
001Pn000010e4uCIAQ,The Warm Friend,21288
001Pn000010e4yvIAA,Clinton Place Apartments,21754
001Pn000010e58bIAA,Wyoming Library,21907
001Pn000010e58cIAA,Sitelogiq,21597
001Pn000010e5EcIAI,Saginaw ISD,20728
001Pn000010e5LTIAY,FedEx,21895
001Pn000010e5N8IAI,Health Innovation Partners LLC,21596
001Pn000010e5TeIAI,WMSC,20387
001Pn000010e6O2IAI,Kipfmiller's Produce & Meats,21200
001Pn000010e6XiIAI,Jefferson School District,21947
001Pn000010e6XlIAI,"Johnson Controls, Inc",21419
001Pn000010e6cWIAQ,Wolverine Community Schools,21410
001Pn000010e6nnIAA,"FMC Technologies, Inc.",21861
001Pn000010e6pTIAQ,Mexican Restaurant,21667
001Pn000010e6sfIAA,G&W Refrigeration & Heating,21127
001Pn000010e6xaIAA,American Concrete Institute,20350
001Pn000010e6zHIAQ,"Temperature Control, Inc",21135
001Pn000010e72MIAQ,"Griffin's Truck Caps, LLC",21741
001Pn000010e741IAA,Glen Oaks Community College,21115
001Pn000010e742IAA,Auth0,21083
001Pn000010e7AXIAY,Penske Truck Leasing,21271
001Pn000010e7AYIAY,Coopersville Public Schools,21109
001Pn000010e7AZIAY,Perimeter 81,20730
001Pn000010e7DbIAI,Woods Restaurant,21307
001Pn000010e7IRIAY,Frauenthal Theater,21110
001Pn000010e7K6IAI,J&H Coopersville,21381
001Pn000010e7YaIAI,Century Terrace,21331
001Pn000010e7aGIAQ,"Neller & Wesley Land Development Company I, LLC",21863
001Pn000010e7aHIAQ,RHD Tire,21393
001Pn000010e7ggIAA,University Meadows,20701
001Pn000010e7jwIAA,Tekton,21609
001Pn000010e7jyIAA,Gates Prime Commercial Group,21015
001Pn000010e7lTIAQ,Harbor Industries,21833
001Pn000010e7qNIAQ,ABM Building Solutions,20415
001Pn000010e7sDIAQ,N.A.C.E.,20143
001Pn000010e7zzIAA,W Soule & Co (Vendor),21417
001Pn000010e81cIAA,St Johns Public Schools,21492
001Pn000010e86dIAA,Ransom District Library,20427
001Pn000010e8MaIAI,Alpena County Road Commission,21953
001Pn000010e8PqIAI,"R&R Mechanical Services, LLC",21933
001Pn000010e8XsIAI,Hurckman Mechanical,21542
001Pn000010e8g0IAA,Kent County Purchasing Department,21843
001Pn000010e8jAIAQ,Ascension Novi MOB,21828
001Pn000010e8wCIAQ,Phoenix Theaters,21041
001Pn000010e8wDIAQ,West Community Credit Union,20455
001Pn000010e8zGIAQ,TC 8888 LLC,22151
001Pn000010e8zIIAQ,Sawyer Services Inc.,21181
001Pn000010e8zJIAQ,Neighborhood Provisions,21006
001Pn000010e90yIAA,Richardson Mechanical,22031
001Pn000010e9AaIAI,"Distech Controls Energy Services, Inc",21867
001Pn000010e9AcIAI,Michael & Associates,21257
001Pn000010e9AdIAI,Honey Creek Barn,21252
001Pn000010e9FPIAY,Serve Electric,21143
001Pn000010e9H4IAI,Inland Residential Real Estate Services,21775
001Pn000010e9NXIAY,Motor City Electric Company,21674
001Pn000010e9NaIAI,"Gunthorpe Plumbing & Heating, Inc",20600
001Pn000010e9SKIAY,"Reliable Wire and Cable, Inc",21340
001Pn000010e9TxIAI,Burt Watson Chevrolet,21264
001Pn000010e9VZIAY,MacAllister Rentals,21361
001Pn000010e9VbIAI,"Grand Rapids VA, LLC",21134
001Pn000010e9aMIAQ,Bentek Corporation,22118
001Pn000010e9dbIAA,Azon,22097
001Pn000010e9gyIAA,Russ' Restaurant,21034
001Pn000010e9k6IAA,Five Below Petoskey,21877
001Pn000010e9k8IAA,Hudsonville Christian Middle School,21429
001Pn000010eA8HIAU,GRIT Technologies,20685
001Pn000010eA9tIAE,Victory Point Church,22045
001Pn000010eAD7IAM,Kasco Contstruction,21490
001Pn000010eAD8IAM,ADP,21231
001Pn000010eAD9IAM,Lost Lake Woods Club,21216
001Pn000010eAElIAM,Immaculate Conception Parish,21382
001Pn000010eAGNIA2,Glik's,21024
001Pn000010eAHxIAM,Ten21 Apartments,21045
001Pn000010eAOjIAM,"K & H Concrete Cutting, inc.",21474
001Pn000010eAOkIAM,"Triad Fire Suppression, Inc",21258
001Pn000010eAUqIAM,Alpena News,20562
001Pn000010eAY9IAM,Sturgis Hospital,21319
001Pn000010eAbIIAU,Stone Plastics,22157
001Pn000010eAbKIAU,Parkway Electric & Communications LLC,21385
001Pn000010eAoBIAU,Phelps Collins Open Mess Inc.,22116
001Pn000010eAwHIAU,Zion Church of Ionia,22130
001Pn000010eAxtIAE,Franklin Holwerda Co*,21639
001Pn000010eB3gIAE,Art Mulder & Sons Trucking,21101
001Pn000010eB4IIAU,Grand Haven Wastewater Treatment Plant,20720
001Pn000010eB9CIAU,Delta Temp Services*,21860
001Pn000010eBAlIAM,PM Dowell Contracting,21186
001Pn000010eBFcIAM,Coopersville City Water Department,20361
001Pn000010eBM3IAM,Positive Trades Group,21818
001Pn000010eBQtIAM,Steketee Residence,20269
001Pn000010eBdpIAE,Freedom Village,21655
001Pn000010eBfQIAU,Ernst & Young LLP,22037
001Pn000010eBh1IAE,IKEA - Canton,20463
001Pn000010eBkIIAU,"Energy Saving Technologies of America, Inc.",21176
001Pn000010eBnjIAE,Maple Woods Manor,21358
001Pn000010eBsKIAU,Apple,21839
001Pn000010eBxDIAU,"Bomarko, Inc",19390
001Pn000010eBxFIAU,Grand River Aseptic Manufacturing,19599
001Pn000010eC1zIAE,Portage Community Senior Center,20896
001Pn000010eC20IAE,SmartStart Medical,20570
001Pn000010eC5DIAU,Boys and Girls Club of Greater Kalamazoo,21951
001Pn000010eC6qIAE,Design Heating and AC,21077
001Pn000010eC6rIAE,National Management Resources Corp,21025
001Pn000010eC6sIAE,Botanical Gradens,20936
001Pn000010eCDKIA2,Monte Packaging,21816
001Pn000010eCDLIA2,Accident Fund Insurance Company of America *,21424
001Pn000010eCGaIAM,Southgate Community Schools,20799
001Pn000010eCJnIAM,Summit Church,22143
001Pn000010eCOeIAM,Aldea Coffee Shop,20379
001Pn000010eCTTIA2,Reno Bros Mechanical,21913
001Pn000010eCTUIA2,Henry Ford Hospice Home,21541
001Pn000010eCWdIAM,Patterson Family Health Center,20507
001Pn000010eCZsIAM,Nicton Inc,21625
001Pn000010eCZtIAM,Medilodge of Wyoming,21283
001Pn000010eCd6IAE,Graphet,21118
001Pn000010eCeqIAE,Smillie Plumbing & Heating,20632
001Pn000010eCerIAE,Michigan Department of Transporation (MDOT),20497
001Pn000010eCjbIAE,Georgetown Township,21548
001Pn000010eCoSIAU,Beyond Technologies,20753
001Pn000010eCq0IAE,Smith's Pump and Plumbing,22110
001Pn000010eCq2IAE,Kalamazoo County Mental Health,20729
001Pn000010eD2uIAE,Detroit Boiler Company,22061
001Pn000010eD69IAE,Chippewa County EDC,21704
001Pn000010eDEDIA2,Edwardsburg Public Schools,20924
001Pn000010eDFrIAM,ACD,20727
001Pn000010eDR7IAM,Veterans Memorial Park Pool and Ice Arena,21862
001Pn000010eDVwIAM,Graphic Packaging International,20925
001Pn000010eDcQIAU,Insane Gorilla Cultivation (IGCC LLC),22094
001Pn000010eDcRIAU,Dave Dehann,21686
001Pn000010eDfbIAE,Sunrise Veterinary Services,21437
001Pn000010eDhGIAU,Ramblewood Community Building,21365
001Pn000010eDirIAE,Kalamazoo College,20948
001Pn000010eDuBIAU,Troy corporate center-Integris,21506
001Pn000010eE2GIAU,Cresco Labs,21927
001Pn000010eE2HIAU,Lansing Community College,21891
001Pn000010eE5PIAU,Hart Public Schools,21431
001Pn000010eE76IAE,Mechanical Systems Solutions LLC,21776
001Pn000010eEBwIAM,Rebo Lighting,21740
001Pn000010eELXIA2,St. Clair County,21491
001Pn000010eENFIA2,Gladwin Pines Nursing Home,21362
001Pn000010eEmzIAE,River City Rheumatology,21421
001Pn000010eEn4IAE,Manistee Library,20644
001Pn000010eEyEIAU,Fox's Pizza Den,22052
001Pn000010eEzuIAE,Owen Werth,21060
001Pn000010eF1WIAU,"Jain Society of Greater Detroit, Inc",21784
001Pn000010eF1XIAU,Fraternal Order of Eagles,20985
001Pn000010eF4iIAE,"Communities First, Inc",21991
001Pn000010eF4jIAE,Magna International,21834
001Pn000010eF7wIAE,Arcadia Bluffs,21727
001Pn000010eFBAIA2,The Image Shoppe,20323
001Pn000010eFPhIAM,North Country Mechanical,21226
001Pn000010eFStIAM,Mackinac Center for Public Policy,21005
001Pn000010eFZOIA2,"Boone Labs, Inc.",21261
001Pn000010eFZPIA2,Alcona Health Center,21260
001Pn000010eFZTIA2,Kingdom Sports,20695
001Pn000010eFhRIAU,Lake Charter Township,22160
001Pn000010eFj4IAE,HPI | Heavner Properties,20846
001Pn000010eFr4IAE,"Soracom Global, Inc",21141
001Pn000010eFxZIAU,Capital Area Housing Partnership,21786
001Pn000010eG0nIAE,Myndset Herbs,21125
001Pn000010eG2VIAU,Center Health Surgery Center,20921
001Pn000010eG7EIAU,Kinder Morgan,21831
001Pn000010eGARIA2,Giffen Flooring Group,22100
001Pn000010eGFKIA2,Foremost,20629
001Pn000010eGIUIA2,Hurley Medical Center,20812
001Pn000010eGLmIAM,Preferrred Construction Group,20627
001Pn000010eGNNIA2,EPR Properties,21148
001Pn000010eGOyIAM,J S  Vig Construction,21705
001Pn000010eGQbIAM,Village of Sparta,21976
001Pn000010eGSGIA2,U.S department of Veterans Affairs-Wyoming,21142
001Pn000010eGX1IAM,The Arc of Lagrange County,21477
001Pn000010eGYhIAM,Baldwin Family Health Care,20692
001Pn000010eGjvIAE,"Quality Air Service, Inc*",21539
001Pn000010eGnIIAU,Elite Detection K9,20999
001Pn000010eGtbIAE,Hastings Area School System,22019
001Pn000010eGyUIAU,Walters Gardens,21213
001Pn000010eH1hIAE,Atherton Community Schools,20781
001Pn000010eH1jIAE,Interactive Energies Group,20518
001Pn000010eH9lIAE,"Allied Ventilation, Inc.",21638
001Pn000010eHCyIAM,Kalamazoo Humane Society,21938
001Pn000010eHEZIA2,Beacon Hill At Eastgate,21076
001Pn000010eHEaIAM,Donato Group,20585
001Pn000010eHGHIA2,Inaudible PR LLC,21378
001Pn000010eHHmIAM,KOKOSING ALBERICI TRAYLOR,21719
001Pn000010eHT8IAM,Country Schoolhouse Escanaba,21632
001Pn000010eHT9IAM,Moore Mechanical,21618
001Pn000010eHUhIAM,Service Control Inc,21466
001Pn000010eHZZIA2,Creative Construction,21021
001Pn000010eHeNIAU,Hastings Public Library,21545
001Pn000010eHhbIAE,Essentra Components,21820
001Pn000010eHjFIAU,Benteler Automotive Group,20703
001Pn000010eHksIAE,Rivertown Dental Associates,20508
001Pn000010eHmTIAU,Green Eden Dispensary,21061
001Pn000010eHxlIAE,Total Fire & Security,21815
001Pn000010eI4BIAU,City of St. Joseph,21629
001Pn000010eI4CIAU,Fremont Public Schools,21586
001Pn000010eICGIA2,Valvoline,21372
001Pn000010eICJIA2,MNP Corp,20536
001Pn000010eIDsIAM,Bolen Asphalt Paving,20668
001Pn000010eIIiIAM,Barrio,21074
001Pn000010eIKMIA2,City Of Battle Creek,20434
001Pn000010eINZIA2,The Derby Tavern,21056
001Pn000010eISbIAM,"Enertemp, Inc",20761
001Pn000010eIU2IAM,"PC Connection, Inc",20572
001Pn000010eIVcIAM,Kohan Retail Investment Group,21812
001Pn000010eIXEIA2,enPower Technology Solutions,20404
001Pn000010eIc4IAE,St Joseph County,21560
001Pn000010eIfJIAU,Central Savings Bank,20377
001Pn000010eIguIAE,AAA,20843
001Pn000010eIiVIAU,Bobs Bullpen,21810
001Pn000010eIiWIAU,Peace Lutheran Church,21681
001Pn000010eIlmIAE,Monjur,21840
001Pn000010eInMIAU,Premier Surgical Center of Michigan,21503
001Pn000010eIozIAE,Hyatt House Hotel,21144
001Pn000010eIsCIAU,La Colombe Coffee Roasters,22043
001Pn000010eIsDIAU,Rogers City Wastewater Treatment Plant,20741
001Pn000010eIsEIAU,Marshall Aquatic,20630
001Pn000010eIsFIAU,Beaumont Wayne Breast Care Center,20619
001Pn000010eIsGIAU,Grand Haven public Works,20520
001Pn000010eItpIAE,"ROC Electric, LLC",21400
001Pn000010eItqIAE,First Presbyterian Church of Flint,21098
001Pn000010eIvXIAU,"Climatec, LLC",21155
001Pn000010eJ1uIAE,Otsego Public Schools,20648
001Pn000010eJ6hIAE,iSolved,21633
001Pn000010eJBYIA2,Livingston County Road Commission,20524
