recordid,name,cwid
02iPn000005MYmbIAG,Onion Crock ECY-303 Freezer and Refr Alarm - No Remote Access,3170
02iPn000005MYt1IAG,Vicksburg United Methodist N4 JACE,535
02iPn000005MYucIAG,Ionia Public Schools Remote Access SET,633
02iPn000005MYzSIAW,"VRF Integration, IP address",2810
02iPn000005MYzTIAW,AquinasCollege_AMC AX JACE,3123
02iPn000005MYzUIAW,Kalamazoo Humane Society JACE-8000,3126
02iPn000005MZAkIAO,X-cell Jace 3,1950
02iPn000005MZDyIAO,Benteler RDP (disconnected),774
02iPn000005MZDzIAO,North_Liberty_DC,1308
02iPn000005MZKQIA4,Trendway JACE (no connection),813
02iPn000005MZViIAO,Meijer DC-84(New Expansion),1658
02iPn000005MZYxIAO,3 - Ingham ISD - N4 Server via Remote Desktop,2079
02iPn000005MZcAIAW,RCS Indian Hills Elem Jace,1920
02iPn000005MZcBIAW,Middle School | JACE,2234
02iPn000005MZdnIAG,HFMHCATHLAB Jace,2262
02iPn000005MZicIAG,1 New Buffalo Remote Access,643
02iPn000005MZkFIAW,Napoleon Elem Jace and NAT remote connection,2024
02iPn000005MZsIIAW,Laingsburg High School N4 JACE,469
02iPn000005MZtvIAG,Kentwood Public Schools Valleywood AX JACE,461
02iPn000005MZykIAG,Remote Acc./Jace Config.,2043
02iPn000005Ma6oIAC,Hillman HS ABB Control System,3434
02iPn000005MaErIAK,J5478,2
02iPn000005MaEsIAK,GRHV-BAS-Controls,2508
02iPn000005MaGTIA0,LogMeIn,225
02iPn000005MaI5IAK,AHU 4 Lon Controller,227
02iPn000005MaJhIAK,VAV-4020,235
02iPn000005MaLJIA0,"Hutchinson, MN - Remote Access VPN",240
02iPn000005MaLKIA0,Gateway North Jace 1 - StJohns_GN,3055
02iPn000005MaMvIAK,1 - Fulton Schools VPN Access (No Supervisor on this site.),244
02iPn000005MaMwIAK,AX JACE - Sedgebrook_RG_RB,2943
02iPn000005MaOXIA0,Fulton Schools Boiler N4 JACE,245
02iPn000005MaOYIA0,Metro Toyota JACE,824
02iPn000005MaQ9IAK,Touch Screen PC,247
02iPn000005MaRlIAK,1 SonicWall VPN,249
02iPn000005MaTNIA0,1 Schoolcraft Community Schools Remote Access,261
02iPn000005MaUzIAK,1 - Kent ISD - Remote Access VPN - Important - Read Notes before proceeding,262
02iPn000005MaWbIAK,Kent ISD - AX 3.8 Web Supervisor,263
02iPn000005MaYDIA0,3 - Kent ISD LNS - Niagara 4 FX JACE,264
02iPn000005MaYEIA0,Western Parma Elem JACE,1455
02iPn000005MaZpIAK,Kent ISD- Oakleigh,265
02iPn000005MaZqIAK,Linksys Firewall Router at Muskegon Branch,2327
02iPn000005MabRIAS,AF_GROUP_1,266
02iPn000005MabSIAS,Wayland Union Schools Middle School Boiler Room N4 JACE,551
02iPn000005Mad3IAC,AF_GROUP_2,267
02iPn000005MaefIAC,AF_GROUP_4,269
02iPn000005MaegIAC,Addison Schools N4 Supervisor,427
02iPn000005MaehIAC,Clyde,1468
02iPn000005MagHIAS,1 - Supervisor: AF_GROUP_WS,270
02iPn000005MagIIAS,ALRO_MORRISVILLE_MAU_02,1855
02iPn000005MagJIAS,Niagara,2527
02iPn000005MagKIAS,Akron_East N4 JACE,2804
02iPn000005MahtIAC,Eau Claire Elementary School JACE,271
02iPn000005MajVIAS,Eau Claire High School JACE,272
02iPn000005MajWIAS,TRIDIUM,2624
02iPn000005Mal7IAC,Eau Claire Anyconnect VPN Access,273
02iPn000005Mal8IAC,LC_SouthRiver AX JACE,2987
02iPn000005MamjIAC,High School,274
02iPn000005MamkIAC,3 - Area_A_Router,2298
02iPn000005MaoLIAS,Elementary School,275
02iPn000005MaoMIAS,DESKTOP-K6VEATD,2522
02iPn000005MapxIAC,City of Alpena - JACE (Direct Connection),277
02iPn000005MapyIAC,Bomarko Jace and connection,957
02iPn000005MarZIAS,1 - City of Saginaw - VPN connection,279
02iPn000005MatBIAS,City of Saginaw - City Hall JACE,280
02iPn000005MaunIAC,City of Saginaw - Saginaw PD,281
02iPn000005MauoIAC,Existing Niagara Control System,3430
02iPn000005MawPIAS,City of Saginaw - Public Works,282
02iPn000005MawQIAS,St. Joseph State Street - Trane Controller,2328
02iPn000005May1IAC,City of East Lansing - City Hall JACE,283
02iPn000005May2IAC,gwinn963,2795
02iPn000005MazdIAC,City of East Lansing - Public Library JACE,284
02iPn000005Mb1FIAS,1 Manchester Community Schools - Remote VPN Connection,285
02iPn000005Mb2rIAC,Manchester Community Schools - Niagara 4 Supervisor,286
02iPn000005Mb4TIAS,Manchester Community Schools - High School JACE,287
02iPn000005Mb65IAC,Manchester Community Schools - Middle School JACE,288
02iPn000005Mb7hIAC,Manchester Community Schools - Elementary School JACE,289
02iPn000005Mb7iIAC,Remote Connection,1325
02iPn000005Mb9JIAS,1 Alpena County - Remote Access VPN,290
02iPn000005MbAvIAK,1 - Sedgebrook - Remote Access and JACE Connection notes,292
02iPn000005MbCXIA0,MISOHA State Lab - Novar Remote connection,293
02iPn000005MbCYIA0,hvac-pc,2615
02iPn000005MbE9IAK,1 Newkirk Electric Muskegon - Remote connection,297
02iPn000005MbECIA0,Addison School2 AX JACE 1,429
02iPn000005MbEDIA0,33rd Street JACE,1004
02iPn000005MbFlIAK,GERST_FUNERAL_HOME,298
02iPn000005MbHNIA0,Snowfield Fabanio House,299
02iPn000005MbHOIA0,Catholic Central 100 wing AX JACE,571
02iPn000005MbHPIA0,Muskegon Community College Niagara N4 Supervisor,575
02iPn000005MbHQIA0,Bangor Twp Schools West N4 JACE,669
02iPn000005MbIzIAK,Columbia Public Schools - Intermediate Building,303
02iPn000005MbJ0IAK,1 VPN Access - Flex-N-Gate Rockford TN,868
02iPn000005MbJ1IAK,0) Remote Access,1879
02iPn000005MbKbIAK,Columbia Public Schools - High School,304
02iPn000005MbKcIAK,N4 Supervisor (Burdi ECC Only),2343
02iPn000005MbMDIA0,Columbia Public Schools - Elementary School,305
02iPn000005MbPRIA0,1 II Stanley - VPN site connection,306
02iPn000005MbR3IAK,II Stanley - Niagara Supervisor,307
02iPn000005MbRAIA0,Barryton Elementary,3341
02iPn000005MbSfIAK,Bridge Organics - AX JACE Direct Connection,308
02iPn000005MbUHIA0,Eau Claire Public School RDP Connection,319
02iPn000005MbUIIA0,Steam Building Jace,1918
02iPn000005MbVtIAK,ELPS East Lansing Public Schools,320
02iPn000005MbXVIA0,2 - Kent ISD - RDP to Niagara 4 Supervisor,321
02iPn000005MbZ7IAK,2 - Montabella Community Schools - Niagara 4 Supervisor,322
02iPn000005MbajIAC,Montabella Community School- Elementary N4 JACE,323
02iPn000005MbcLIAS,Montabella Community Schools High School N4 JACE 1,324
02iPn000005MbdyIAC,Kraft Meadows MS - JACE-02,390
02iPn000005MbdzIAC,Chiller,2869
02iPn000005MbfZIAS,1 - Galesburg-Augusta Community Schools - Remote Connection,326
02iPn000005MbfaIAC,1 - Benton Harbor Schools Remote Access,784
02iPn000005MbhBIAS,2 - vend2 - Galesburg-Augusta Community Schools - Niagara 4 Supervisor,327
02iPn000005MbinIAC,Galesburg-Augusta Community Schools - Middle School  N4 JACE,328
02iPn000005MbioIAC,TRANE JACE,2147
02iPn000005MbkPIAS,Galesburg-Augusta Community Schools - High School N4 JACE,329
02iPn000005MbkQIAS,High School N4 JACE-02,1901
02iPn000005Mbm1IAC,Galesburg-Augusta Community Schools - Siemens JACE,330
02iPn000005Mbm2IAC,Dewing JACE,1478
02iPn000005MbndIAC,1 Thierica - TAC- Jackson - Remote Connection,331
02iPn000005MbneIAC,Walker Roof Access Lock Code 2689,1845
02iPn000005MbnfIAC,JACE - CottonCorrFacility,2049
02iPn000005MbpFIAS,Thierica - TAC- Jackson - Niagara 4 Jace #2,332
02iPn000005MbpGIAS,HFMH Generator Jace 2,2283
02iPn000005MbqrIAC,Thierica - TAC- Jackson - Niagara 4 Jace 1,333
02iPn000005MbqsIAC,Niagara R2 Server,591
02iPn000005MbsTIAS,Cisco AnyConnect | Remote Access,334
02iPn000005Mbu6IAC,JACE_17 Patient Tower 2nd Floor,1375
02iPn000005MbvhIAC,MMMC Clare,353
02iPn000005MbviIAC,"3.Newaygo - VPN - use as last resort, VPN is being upgraded at end of school year 2025",1010
02iPn000005MbxJIAS,1 RCS - Remote VPN Connection,355
02iPn000005MbxKIAS,Life Stream Church AX JACE,482
02iPn000005MbxLIAS,Amwins Supervisor,1508
02iPn000005MbxMIAS,Westwood VPN,1914
02iPn000005MbyvIAC,2 RCS - Niagara 4 Supervisor,356
02iPn000005Mc0XIAS,JACE GRLabel,357
02iPn000005Mc0YIAS,"Lowell, MI N4 JACE",1205
02iPn000005Mc29IAC,Marshall County Jail N4 JACE,358
02iPn000005Mc2AIAS,1 - Livingston County VPN and RDP access to Niagara and old Trend servers,1825
02iPn000005Mc2BIAS,JACE | Grand_Haven_Filtration,1872
02iPn000005Mc3lIAC,2 - Web Supervisor,359
02iPn000005Mc5NIAS,Great Lakes Surgery - AX Jace Direct connect,360
02iPn000005Mc6zIAC,Bldg 100 - Port Forwarding,363
02iPn000005Mc70IAC,Garber Chevy,1214
02iPn000005Mc8bIAC,Foremost N4 Jace,364
02iPn000005McADIA0,Marshall Aquatic HVAC N4 Jace,365
02iPn000005McAEIA0,1 Remote Access,1501
02iPn000005McBpIAK,Lewis Cass Jace N4.7,366
02iPn000005McDRIA0,Jace 1,367
02iPn000005McDSIA0,Oak_Valley_Blr_Chlr,3085
02iPn000005McF3IAK,Bath Elementary N4 Jace,368
02iPn000005McGfIAK,1 Lawrence Public Schools - GlobalProtect VPN,370
02iPn000005McIHIA0,Lawrence Public Schools - High School AX JACE,372
02iPn000005McIIIA0,Whirlpool Edgewater Tech Center - Boiler Controller,2370
02iPn000005McJtIAK,Berrien RESA Admin JACE,373
02iPn000005McLVIA0,Berrien RESA AX JACE,374
02iPn000005McN7IAK,Blossomland N4 JACE,375
02iPn000005McOjIAK,Berrien RESA HVAC AX JACE,376
02iPn000005McOkIAK,Metron N4 JACE (no remote access),2344
02iPn000005McOlIAK,Laingsburg High School Lon JACE,2524
02iPn000005McQLIA0,Berrien RESA N4 Supervisor,377
02iPn000005McRxIAK,Berrien RESA Remote VPN Access,378
02iPn000005McTZIA0,Chase Bank Spring Lake N4 JACE,380
02iPn000005McVBIA0,Central Wesleyan N4 JACE,382
02iPn000005McVCIA0,Upjohn Library JACE,1729
02iPn000005McWnIAK,City of Wyoming Clean Water N4 JACE,383
02iPn000005McWoIAK,basmd_ssl,1958
02iPn000005McYPIA0,Clear Water Place N4 JACE,384
02iPn000005McYQIA0,2WR - 018,1247
02iPn000005Mca3IAC,Roskam Baking - M2 JACE,2843
02iPn000005McbdIAC,Emmons Lake - JACE AHU_ERU2,385
02iPn000005McdFIAS,Emmons Lake - JACE HWS/CWS,386
02iPn000005McdGIAS,Schoolcraft Elementary School N4 JACE,2128
02iPn000005McerIAC,Emmons Lake - JACE AHU_04/05,387
02iPn000005McgTIAS,Emmons Lake - JACE AHU_ERU_03,388
02iPn000005Mci5IAC,Emmons Lake - JACE AHU_ERU_01,389
02iPn000005McjhIAC,Caledonia HS North - WWHP-03 JACE,391
02iPn000005MclJIAS,Duncan Lake MS - JACE-North,392
02iPn000005McmvIAC,Duncan Lake MS - JACE-South,393
02iPn000005McoXIAS,Kraft Meadows MS - JACE-03,394
02iPn000005Mcq9IAC,Dutton Elementary - JACE,395
02iPn000005McrlIAC,Caledonia HS South - JACE,396
02iPn000005McrmIAC,Jace Configuration,1889
02iPn000005McrnIAC,Supervisor Credentials,2345
02iPn000005MctNIAS,Transportation Maintenance - JACE,397
02iPn000005McuzIAC,Caledonia HS North - ERU JACE (Not completed),398
02iPn000005McwbIAC,1 Remote VPN connection,399
02iPn000005McwcIAC,JACE 1 Supervisor,1961
02iPn000005MczpIAC,Byron Center West MS JACE,400
02iPn000005Md1RIAS,Byron Center WM Athletic JACE,401
02iPn000005Md1SIAS,Alro Steel Toledo 2020 Unit - 10.10.39.235,961
02iPn000005Md33IAC,Byron Center Marshall JACE,402
02iPn000005Md4fIAC,Byron Center Nickels JACE (not Complete),403
02iPn000005Md6HIAS,Byron Center Countryside JACE,404
02iPn000005Md7tIAC,Byron Center HS Auditorium JACE,405
02iPn000005Md9VIAS,Byron Center HS Boiler Room (not Completed),406
02iPn000005Md9WIAS,2 Schoolcraft Schools Supervisor,1504
02iPn000005MdB7IAK,Byron Center HS Office (Not Completed),407
02iPn000005MdB8IAK,1430 Monroe JACE,415
02iPn000005MdB9IAK,Wexford County Courthouse N4 JACE,606
02iPn000005MdBAIA0,RE Domestic HW BACnet Router,1547
02iPn000005MdCjIAK,1 Byron Center Remote Access,408
02iPn000005MdELIA0,2 Byron Center Niagara/Trend/Novar Supervisor,409
02iPn000005MdFxIAK,Davis Ellis Academy N4 JACE,410
02iPn000005MdHZIA0,Detroit PAL N4 JACE,411
02iPn000005MdJBIA0,800 Monroe JACE,412
02iPn000005MdJCIA0,Monitor - 006,1590
02iPn000005MdJFIA0,Remote Access,1789
02iPn000005MdKnIAK,1345 Monroe JACE,413
02iPn000005MdMPIA0,Clear Water Place N4 JACE,414
02iPn000005MdMQIA0,2 - N4 Web Supervisor,1896
02iPn000005MdMRIA0,Tripleseat Integration,2321
02iPn000005MdO1IAK,Fibre Convertors AX JACE,416
02iPn000005MdO2IAK,1) Westwood VPN,2156
02iPn000005MdPeIAK,HFMH 11 ASU MRI Jace,2277
02iPn000005MdPfIAK,9_McLarenOakland9,3286
02iPn000005MdRFIA0,Fibre Converters Chiller JACE (not sure if it exists 50.77.236.189),417
02iPn000005MdSrIAK,First Presbyterian N4 JACE,418
02iPn000005MdUTIA0,2201 Oak Industrial N4 JACE,419
02iPn000005MdW5IAK,Flexco VPN Connection INACTIVE,420
02iPn000005MdXhIAK,Grace Lutheran JACE,421
02iPn000005MdXiIAK,WHR_GHQ_NW_02,2899
02iPn000005MdZJIA0,Heritage CRC Security AX JACE,422
02iPn000005MdZKIA0,PC034,1102
02iPn000005MdavIAC,Immanuel Lutheran AX JACE,423
02iPn000005MdcXIAS,Ingham Co Medical AX JACE,424
02iPn000005Mde9IAC,695 Kenmore N4 JACE (not set up),426
02iPn000005MdhNIAS,Addison Schools JACE 2,428
02iPn000005MdizIAC,APlex AX JACE,430
02iPn000005MdkbIAC,City Flats Hotel AX JACE,431
02iPn000005MdmDIAS,City of Dearborn N4 JACE (Not completed),432
02iPn000005MdmEIAS,Wayne State JACE (no remote connection),800
02iPn000005MdmFIAS,Aliant Healthcare,1208
02iPn000005MdmGIAS,Whirlpool_NewKingston,1942
02iPn000005MdnpIAC,St Joseph Library AX JACE,433
02iPn000005MdnqIAC,Dowagiac Union Schools High School N4 JACE,565
02iPn000005MdnrIAC,WoodsEdge JACE 2 (old Honeywell),1316
02iPn000005MdnsIAC,High School Addition | HWS ECY-S1000,2285
02iPn000005MdntIAC,VPN Connection Details,2422
02iPn000005MdpRIAS,St Joseph Library VPN Access,434
02iPn000005MdpSIAS,AX JACEs,2468
02iPn000005Mdr3IAC,Creekside Medical AX JACE,435
02iPn000005Mdr4IAC,JOKER - Automate Connection,1157
02iPn000005MdsfIAC,Friendship Village JACE,436
02iPn000005MduHIAS,House of Flavors AX JACE,439
02iPn000005MdvtIAC,Dominican Sisters South N4 JACE,455
02iPn000005MdxVIAS,Dominican Sisters North N4 JACE,456
02iPn000005Mdz7IAC,Dominican Sisters Remote Access,457
02iPn000005Mdz8IAC,DCSNOVAR - Automate Connection,1131
02iPn000005Mdz9IAC,Meijer 985 1st Floor JACE,1768
02iPn000005Me0jIAC,Fulton Schools HS N4 JACE,458
02iPn000005Me2LIAS,Kalamazoo Surgery Center AX JACE,460
02iPn000005Me3xIAC,Kentwood Public Schools Remote Access,462
02iPn000005Me3yIAC,Jace,1499
02iPn000005Me3zIAC,WNEM_BLR ECY Controller,3131
02iPn000005Me5ZIAS,2 - Lacks Supervisor,463
02iPn000005Me5aIAC,Remote Access,935
02iPn000005Me7BIAS,Laingsburg Middle School N4 JACE,465
02iPn000005Me8nIAC,Laingsburg HS N4 JACE,466
02iPn000005MeAPIA0,Laingsburg Elementary N4 JACE,467
02iPn000005MeC1IAK,2 - Laingsburg Supervisor,470
02iPn000005MeDdIAK,1 - Laingsburg remote Access,471
02iPn000005MeFFIA0,2 - LMCU Supervisor,472
02iPn000005MeFGIA0,Forest Hills Public Schools - WIFI access on site and NTP server info,860
02iPn000005MeGrIAK,1 - LMCU VPN Remote Access,473
02iPn000005MeITIA0,LMCU Glenwood 5537 N4 JACE,474
02iPn000005MeK5IAK,LMCU Metro N4 JACE,475
02iPn000005MeLhIAK,LMCU Troy N4 JACE,476
02iPn000005MeLiIAK,Portland Public Schools Alerton/Compass Information (see notes),792
02iPn000005MeNJIA0,Lane Automotive  AX JACE 1,478
02iPn000005MeOvIAK,Lane Automotive AX JACE 2,479
02iPn000005MeOwIAK,Bissell Courtyard Mech Rm Router,1933
02iPn000005MeQXIA0,1 Lane Automotive Remote Access,480
02iPn000005MeQYIA0,Mercantile Bank Jace Info,950
02iPn000005MeQZIA0,BAS-VM-SUPV Admin Password,2541
02iPn000005MeS9IAK,Ludington Schools Upper Building N4 JACE,483
02iPn000005MeSAIA0,USPO Detroit FX 1 JACE,1236
02iPn000005MeTlIAK,Madison Schools Network Supervisor,485
02iPn000005MeVNIA0,Madison Schools N4 JACE 1,486
02iPn000005MeVOIA0,Crossroads HW System S1000,1017
02iPn000005MeWzIAK,Madison Schools N4 JACE 2,487
02iPn000005MeX0IAK,1 Niagara Supervisor,1353
02iPn000005MeYbIAK,1 Madison Schools Remote Access,488
02iPn000005MeaDIAS,Manistee Library N4 JACE,489
02iPn000005MebpIAC,Kingsley N4 JACE,490
02iPn000005MebqIAC,Jace info,1834
02iPn000005MebrIAC,1 - Remote Access,1873
02iPn000005MedRIAS,3 - Martin Public Schools N4 JACE,491
02iPn000005MedSIAS,LMCU Prairie Creek N4,1332
02iPn000005Mef3IAC,1 - Martin Public Schools remote Access,492
02iPn000005MegfIAC,2- Memphis Schools Supervisor via Niagara 4,493
02iPn000005MeiHIAS,1 - Memphis Schools Supervisor via Remote Desktop Connection,494
02iPn000005MejtIAC,New Buffalo HS JACE 1,495
02iPn000005MejuIAC,CSI FTP Site,2954
02iPn000005Men7IAC,Mettro Health Village N4 JACE,496
02iPn000005Men8IAC,Network Supervisor,3325
02iPn000005MeojIAC,Kalkaska CAT AX JACE,497
02iPn000005MeqLIAS,Mt Morris High School N4 JACE,498
02iPn000005MeqMIAS,Niagara JACE - Remote access,1746
02iPn000005MerxIAC,1 - Mt Morris Remote Access,499
02iPn000005MeryIAC,techsup,2474
02iPn000005MetZIAS,Mercy Health Hudsonville N4 JACE,500
02iPn000005MevBIAS,Mercy Health Ada N4 JACE,501
02iPn000005MeyPIAS,Mercy Health remote Access,502
02iPn000005Mf01IAC,2 New Buffalo Supervisor,503
02iPn000005Mf1dIAC,New Buffalo N4 JACE 3,504
02iPn000005Mf1eIAC,Alro Cedar Rapids MAU 1,1910
02iPn000005Mf3FIAS,Northpointe Elementary AX JACE,507
02iPn000005Mf4rIAC,NorthPointe Christian N4 JACE,508
02iPn000005Mf6TIAS,Northpointe Christian HS Boilers AX JACE,509
02iPn000005Mf85IAC,Otsego Public Schools Dix St. AX JACE,510
02iPn000005Mf86IAC,JACE_16 Patient Tower 1st Floor,1374
02iPn000005Mf87IAC,Monitor - 056,1638
02iPn000005Mf9hIAC,Otsego Public Schools Washington WEBS-8000 N4 JACE,512
02iPn000005MfBJIA0,Otsego Public Schools Middle School AX JACE,513
02iPn000005MfCvIAK,Otsego Public Schools N4 Supervisor,514
02iPn000005MfEXIA0,Otsego Public Schools HS JACE (site Down),515
02iPn000005MfEYIA0,Alro_OshKosh_MUA_01,2453
02iPn000005MfG9IAK,The Place to Bee N4 JACE,516
02iPn000005MfHlIAK,Prime Products AX JACE,517
02iPn000005MfJNIA0,Prime Products Remote Access,518
02iPn000005MfJOIA0,BACnet Router,1345
02iPn000005MfJPIA0,control,2629
02iPn000005MfJQIA0,PC203,2861
02iPn000005MfKzIAK,Progressive Surface N4 JACE,519
02iPn000005MfMbIAK,Ridgeview Stamping N4 JACE,520
02iPn000005MfODIA0,Sheridan Publishing N4 JACE,521
02iPn000005MfOEIA0,RCS MS Jace #1,1494
02iPn000005MfOFIA0,1) N4 Supervisor,3069
02iPn000005MfPpIAK,Schoolcraft Schools High School N4 JACE,522
02iPn000005MfRRIA0,Schoolcraft Middle School N4 JACE,523
02iPn000005MfRSIA0,RTU 3 N4 Jace,3169
02iPn000005MfT3IAK,St. Andrews N4 JACE,524
02iPn000005MfUfIAK,1 - St. Peters Remote Access,525
02iPn000005MfUgIAK,2 - HCMCF Web Supervisor,1036
02iPn000005MfWHIA0,Heffron Labs N4 JACE,526
02iPn000005MfXtIAK,Geagley Labs Network Supervisor,527
02iPn000005MfXuIAK,North Elem JACE,2196
02iPn000005MfZVIA0,Geagley and Heffron Remote Access,528
02iPn000005Mfb7IAC,SunMed,529
02iPn000005MfcjIAC,Tawas Village N4 JACE,530
02iPn000005MfckIAC,LC_Lobbestael AX JACE,2981
02iPn000005MfeLIAS,Thierica Display N4 JACE Spyder Line,531
02iPn000005MffxIAC,Thierica Display JACE JEC Line (not complete),533
02iPn000005MfjBIAS,Van Buren County Human Serives N4 JACE,534
02iPn000005MfjCIAS,Generator Modbus Gateway,3420
02iPn000005MfmPIAS,"Catholic Central AX JACE - obsolete - please see ""Catholic Central"" in companies for current config.",536
02iPn000005MfpdIAC,1 Wexford County Jail Remote Access,538
02iPn000005MfrFIAS,White Cloud Public Schools Elementary N4 JACE,540
02iPn000005MfsrIAC,2 - White Cloud Public Schools Supervisor,541
02iPn000005MfuTIAS,1 White Cloud Public Schools Remote Access,542
02iPn000005Mfw5IAC,1 Wightman Associates N4 JACE,543
02iPn000005MfxhIAC,WLP Associates N4 JACE,544
02iPn000005Mg0vIAC,Zeeland Vision N4 JACE,545
02iPn000005Mg2XIAS,Bronson Schools Chicago St AX JACE,546
02iPn000005Mg49IAC,2 - Wayland Union School Supervisor,547
02iPn000005Mg5lIAC,Wayland Union Schools Dorr N4 JACE,548
02iPn000005Mg7NIAS,Wayland Union Schools Steeby N4 JACE,549
02iPn000005Mg7OIAS,3 - Kent ISD KCC - Niagara 4 FX JACE,3072
02iPn000005Mg7PIAS,Lake_MI_CU Jace N4,3093
02iPn000005Mg8zIAC,Wayland Union Schools Baker N4 JACE,550
02iPn000005Mg90IAC,1 Remote Access,1820
02iPn000005Mg91IAC,HVAC-Trend,2622
02iPn000005MgAbIAK,Wayland Union Schools High School N4 JACE_5,552
02iPn000005MgCDIA0,Wayland union Schools Pine St N4 JACE,553
02iPn000005MgDpIAK,Wayland Union Schools High School N4 JACE_6,554
02iPn000005MgDqIAK,PG-Niagara,2509
02iPn000005MgFRIA0,Wayland Union Schools Middle School N4 JACE East,555
02iPn000005MgH3IAK,1 -Wayland Union Schools Remote Access,556
02iPn000005MgIfIAK,Dowagiac Union Schools Niagara Supervisor,558
02iPn000005MgKHIA0,Dowagiac Union Schools Remote Access (VPN) - Use direct connect instead.,559
02iPn000005MgKIIA0,Mt Morris Moore JACE,1849
02iPn000005MgKJIA0,2 - Big Rapids Cancer Center - JACE,3125
02iPn000005MgLtIAK,Dowagiac Union Schools Remote Access (Direct to Supervisor),560
02iPn000005MgLuIAK,GR. Equities 1425 Michigan,1044
